"","Speaker","Listener","Lines","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Lemma"
"696","DUMBLEDORE","HARRY","It's alright Harry. It's alright, he's home, you both are. ","it's alright harry. it's alright, he's home, you both are. ","it's alright harry. it's alright, he's home, you both are. "," alright harry.  alright,  home,   . "," alright harry  alright  home    "," alright harry  alright  home    "," alright harry alright home ","alright harry alright home"
"697","FUDGE","DUMBLEDORE","Keep everybody in their seats. A boy has just been killed. The body must be moved Dumbledore, there are... too many people.  ","keep everybody in their seats. a boy has just been killed. the body must be moved dumbledore, there are... too many people.  ","keep everybody in their seats. a boy has just been killed. the body must be moved dumbledore, there are... too many people.  ","keep everybody   seats.  boy  just  killed.  body must  moved dumbledore,  ...  many people.  ","keep everybody   seats  boy  just  killed  body must  moved dumbledore    many people  ","keep everybody   seats  boy  just  killed  body must  moved dumbledore    many people  ","keep everybody seats boy just killed body must moved dumbledore many people ","keep everybody seat boy just kill body must move dumbledore many people"
"698","AMOS","","Let me through! That's my son! My boy!  ","let me through! that's my son! my boy!  ","let me through! that's my son! my boy!  ","let  !   son!  boy!  ","let     son  boy  ","let     son  boy  ","let son boy ","let son boy"
"699","ALASTOR ","HARRY","Are you alright Potter?  ","are you alright potter?  ","are you alright potter?  ","  alright potter?  ","  alright potter  ","  alright potter  "," alright potter ","alright potter"
"700","ALASTOR ","HARRY","Does it hurt?  ","does it hurt?  ","does it hurt?  ","  hurt?  ","  hurt  ","  hurt  "," hurt ","hurt"
"701","HARRY","ALASTOR ","Not so much now.  ","not so much now.  ","not so much now.  ","  much now.  ","  much now  ","  much now  "," much now ","much now"
"702","ALASTOR ","HARRY","I'd better take a look at it.  ","i'd better take a look at it.  ","i'd better take a look at it.  "," better take  look  .  "," better take  look    "," better take  look    "," better take look ","good take look"
"703","HARRY","ALASTOR ","The cup was a portkey. Someone had bewitched it. ","the cup was a portkey. someone had bewitched it. ","the cup was a portkey. someone had bewitched it. "," cup   portkey. someone  bewitched . "," cup   portkey someone  bewitched  "," cup   portkey someone  bewitched  "," cup portkey someone bewitched ","cup portkey someone bewitch"
"704","ALASTOR ","HARRY","What was it like? What was he like?  ","what was it like? what was he like?  ","what was it like? what was he like?  ","   like?    like?  ","   like    like  ","   like    like  "," like like ","like like"
"705","HARRY","ALASTOR ","Who?  ","who?  ","who?  ","?  ","  ","  "," ",""
"706","ALASTOR ","HARRY","The dark lord. What was it like to stand in his presence? ","the dark lord. what was it like to stand in his presence? ","the dark lord. what was it like to stand in his presence? "," dark lord.    like  stand   presence? "," dark lord    like  stand   presence "," dark lord    like  stand   presence "," dark lord like stand presence ","dark lord like stand presence"
"707","HARRY","ALASTOR ","I dunno. It was like I'd fallen into one of my dreams. One of my nightmares. ","i dunno. it was like i'd fallen into one of my dreams. one of my nightmares. ","i dunno. it was like i'd fallen into one of my dreams. one of my nightmares. "," dunno.   like  fallen  one   dreams. one   nightmares. "," dunno   like  fallen  one   dreams one   nightmares "," dunno   like  fallen  one   dreams one   nightmares "," dunno like fallen one dreams one nightmares ","dunno like fall one dream one nightmare"
"708","ALASTOR ","HARRY","Were there others? In the graveyard, were there others? ","were there others? in the graveyard, were there others? ","were there others? in the graveyard, were there others? ","  others?   graveyard,   others? ","  others   graveyard   others ","  others   graveyard   others "," others graveyard others ","other graveyard other"
"709","HARRY","ALASTOR ","Um. I don't think I said anything about a graveyard Professor. ","um. i don't think i said anything about a graveyard professor. ","um. i don't think i said anything about a graveyard professor. ","um.   think  said anything   graveyard professor. ","um   think  said anything   graveyard professor ","um   think  said anything   graveyard professor ","um think said anything graveyard professor ","um think say anything graveyard professor"
"710","ALASTOR ","HARRY","Marvellous creatures dragons aren't they? Do you think that miserable oaf would have led you into the woods if I hadn't suggested it? Do you think Cedric Diggory would have told you to hold the egg under the water if I hadn't have told him first myself? Do you think Neville Longbottom the witless wonder could have provided you with gilliweed if I hadn't have given him the book that led you straight to it? Huh??  ","marvellous creatures dragons aren't they? do you think that miserable oaf would have led you into the woods if i hadn't suggested it? do you think cedric diggory would have told you to hold the egg under the water if i hadn't have told him first myself? do you think neville longbottom the witless wonder could have provided you with gilliweed if i hadn't have given him the book that led you straight to it? huh??  ","marvellous creatures dragons aren't they? do you think that miserable oaf would have led you into the woods if i hadn't suggested it? do you think cedric diggory would have told you to hold the egg under the water if i hadn't have told him first myself? do you think neville longbottom the witless wonder could have provided you with gilliweed if i hadn't have given him the book that led you straight to it? huh??  ","marvellous creatures dragons  ?   think  miserable oaf   led    woods    suggested ?   think cedric diggory   told   hold  egg   water     told  first ?   think neville longbottom  witless wonder   provided   gilliweed     given   book  led  straight  ? huh??  ","marvellous creatures dragons     think  miserable oaf   led    woods    suggested    think cedric diggory   told   hold  egg   water     told  first    think neville longbottom  witless wonder   provided   gilliweed     given   book  led  straight   huh  ","marvellous creatures dragons     think  miserable oaf   led    woods    suggested    think cedric diggory   told   hold  egg   water     told  first    think neville longbottom  witless wonder   provided   gilliweed     given   book  led  straight   huh  ","marvellous creatures dragons think miserable oaf led woods suggested think cedric diggory told hold egg water told first think neville longbottom witless wonder provided gilliweed given book led straight huh ","marvellous creature dragon think miserable oaf lead wood suggest think cedric diggory tell hold egg water tell first think neville longbottom witless wonder provide gilliweed give book lead straight huh"
"711","HARRY","ALASTOR ","It was you from the beginning. You put my name in the goblet of fire. You bewitched Krum. But...","it was you from the beginning. you put my name in the goblet of fire. you bewitched krum. but...","it was you from the beginning. you put my name in the goblet of fire. you bewitched krum. but...","     beginning.  put  name   goblet  fire.  bewitched krum. ...","     beginning  put  name   goblet  fire  bewitched krum ","     beginning  put  name   goblet  fire  bewitched krum "," beginning put name goblet fire bewitched krum ","begin put name goblet fire bewitch krum"
"712","ALASTOR ","HARRY","You won because I made it so Potter. You ended up in that graveyard tonight because it was meant to be so. And now the deed is done. The blood that runs through these veins runs within the dark lord. Imagine how he will reward me when he learns that I have once and for all silenced the great Harry Potter.  ","you won because i made it so potter. you ended up in that graveyard tonight because it was meant to be so. and now the deed is done. the blood that runs through these veins runs within the dark lord. imagine how he will reward me when he learns that i have once and for all silenced the great harry potter.  ","you won because i made it so potter. you ended up in that graveyard tonight because it was meant to be so. and now the deed is done. the blood that runs through these veins runs within the dark lord. imagine how he will reward me when he learns that i have once and for all silenced the great harry potter.  "," won   made   potter.  ended    graveyard tonight    meant   .  now  deed  done.  blood  runs   veins runs within  dark lord. imagine   will reward    learns        silenced  great harry potter.  "," won   made   potter  ended    graveyard tonight    meant     now  deed  done  blood  runs   veins runs within  dark lord imagine   will reward    learns        silenced  great harry potter  "," won   made   potter  ended    graveyard tonight    meant     now  deed  done  blood  runs   veins runs within  dark lord imagine   will reward    learns        silenced  great harry potter  "," won made potter ended graveyard tonight meant now deed done blood runs veins runs within dark lord imagine will reward learns silenced great harry potter ","win make potter end graveyard tonight mean now deed do blood run vein run within dark lord imagine will reward learn silence great harry potter"
